key,en
mgd.info-gamerules-5,"{b}Game Rules{/b} {fill}{color=#FFBF00}Devil Spins Bonus{/color} 3 or 4 Scatter symbols trigger Free Spins. 3 Scatters award an initial 5 Free spins. 4 Scatters award an initial 8 Free Spins. During the bonus, one additional Free Spin is awarded for each Scatter landed. Wilds landing in the Devil Spins Bonus are Sticky until the free spins finish.{/fill} {fill}{color=#FFBF00}Magic Devil Bonus{/color} Landing both Stacked Wilds on reels 1 and 6 and 3 or more Scatters triggers the Magic Devil Bonus. 3 Scatters award an initial 5 Free spins. 4 Scatters award an initial 8 Free Spins. During the bonus, one additional Free Spin is awarded for each Scatter landed. Multiplier Sticky Wilds are randomly awarded on reels 2 to 5.{/fill} {fill}The Wilds that appear during the Bonus games randomly award extra multipliers (x2, x3, x4) capable of increasing the payout.{/fill}"
mgd.info-gamerules-portrait-1,"{b}Game Rules{/b} {fill}Magic Devil is a 6-reel video slot game. The game has a Scatter symbol, a Wild symbol, and four High and Four low symbols. The Wild substitutes for all other symbols except Scatter. Free Spins are played at the bet of the triggering spin. {color=#FFBF00}Wild Respin Bonus{/color} Stacked Wilds on reels 1 and 6 award a Free Respin on reels 2 to 5. The Stacked Wilds on reel 1 and 6 will be sticky for that respin. The Free Respin randomly lands Wilds with x1, x2, x3, x4 Multipliers on reels 2 to 5. {fill}{color=#FFBF00}Devil Spins Bonus{/color} 3 or more Scatter symbols trigger Free Spins. 3 Scatters award an initial 5 free spins. 4 Scatters award an initial 8 Free Spins. An additional Free Spin is awarded for each additional Scatter. Wilds landing in the Devil Spins Bonus are Sticky until the free spins finish. {/fill} {fill}{color=#FFBF00}Magic Devil Bonus{/color} Landing both Stacked Wilds on reels 1 and 6 and 3 or more Scatters triggers the Magic Devil Bonus. 3 Scatters award an initial 5 free spins. 4 Scatters award an initial 8 Free Spins. Multiplier Sticky Wilds are randomly awarded on reels 2 to 5. During the bonus, one additional Free Spin is awarded for each Scatter landed.{/fill}"
mgd.info-magic-devil-1,Stack Wilds and 3 or 4 SCATTERS to trigger FREE SPINS
mgd.info-magic-devil-2,EXTRA free spins on scatters
mgd.info-magic-devil-3,STICKY MULTIPLIER WILDS FOR BIG WINS UP TO
mgd.info-magic-devil-4,"30,000x"
mgd.info-paytable,All wins pay left to right provided they appear on adjacent reels. All winnings from winning ways are added together. Only highest win paid per winning way.
mgd.info-wild-respin-1,STACKED WILDS on reels 1 and 6 trigger FREE RESPIN
mgd.info-wild-respin-2,Win BIG with MULTIPLIER WILDS
mgd.mgd92-sim,91.79%
mgd.mgd94-sim,93.78%
mgd.mgd96-sim,96.15%
value.time-at,at
