key,it
"mgd.info-gamerules-4,""{b}Regole del gioco{/b} {fill}Magic Devil è una video slot a 6 rulli con da 576 a 147.456 modi di vincere. Il gioco ha un simbolo Scatter, un simbolo Wild e quattro simboli Alti e quattro Bassi. Il Wild sostituisce tutti gli altri simboli tranne lo Scatter. I Giri Gratis vengono giocati con la puntata del giro che li ha attivati. {color=#FFBF00}Bonus Wild Respin{/color} Stacked Wild sui rulli 1 e 6 assegna un Respin gratuito sui rulli da 2 a 5. Gli Stacked Wild sui rulli 1 e 6 saranno permanenti per quel respin. Il Respin gratuito fa atterrare simboli Wild casuali con moltiplicatori x1, x2, x3, x4 sui rulli da 2 a 5. I Wild moltiplicatori sono trattati come modi: x2 è 2 Wild, x3 è 3 Wild, x4 è 4 Wild."""
"mgd.info-gamerules-5,""{b}Regole del gioco{/b} {fill}{color=#FFBF00}Devil Spins Bonus{/color} 3 o 4 simboli Scatter attivano i Free Spins. 3 Scatter assegnano 5 giri gratuiti iniziali. 4 Scatter assegnano 8 giri gratuiti iniziali. Durante il bonus, viene assegnato un giro gratuito aggiuntivo per ogni Scatter ottenuto. I simboli Wild che atterrano nel Bonus Devil Spins sono permanenti fino al termine dei giri gratuiti.{/fill} {fill}{color=#FFBF00}Magic Devil Bonus{/color} L'atterraggio di entrambi i simboli Wild in pila sui rulli 1 e 6 e 3 o più Scatter si attiva il bonus del diavolo magico. 3 Scatter assegnano 5 giri gratuiti iniziali. 4 Scatter assegnano 8 giri gratuiti iniziali. Durante il bonus, viene assegnato un giro gratuito aggiuntivo per ogni Scatter ottenuto. Gli Sticky Wild moltiplicatori vengono assegnati in modo casuale sui rulli da 2 a 5.{/fill} {fill}I Wild che compaiono durante i giochi bonus assegnano in modo casuale moltiplicatori extra (x2, x3, x4) in grado di aumentare la vincita.{/fill}"""
"mgd.info-gamerules-portrait-1,""{b}Regole del gioco{/b} {fill}Magic Devil è una video slot a 6 rulli. Il gioco ha un simbolo Scatter, un simbolo Wild e quattro simboli alti e quattro bassi. Il Wild sostituisce tutti gli altri simboli tranne lo Scatter. I Giri Gratis vengono giocati con la puntata del giro che li ha attivati. {color=#FFBF00}Bonus Wild Respin{/color} Stacked Wild sui rulli 1 e 6 assegna un Respin gratuito sui rulli da 2 a 5. Gli Stacked Wild sui rulli 1 e 6 saranno permanenti per quel respin. Il Respin gratuito fa atterrare simboli Wild casuali con moltiplicatori x1, x2, x3, x4 sui rulli da 2 a 5. {fill}{color=#FFBF00}Devil Spins Bonus{/color} 3 o più simboli Scatter attivano i Free Spins. 3 Scatter assegnano 5 giri gratuiti iniziali. 4 Scatter assegnano 8 giri gratuiti iniziali. Per ogni Scatter aggiuntivo viene assegnato un giro gratuito aggiuntivo. I simboli Wild che atterrano nel Bonus Devil Spins sono permanenti fino al termine dei giri gratuiti. {/fill} {fill}{color=#FFBF00}Magic Devil Bonus{/color} Ottenere entrambi gli Stacked Wild sui rulli 1 e 6 e 3 o più Scatter attiva il Magic Devil Bonus. 3 Scatter assegnano 5 giri gratuiti iniziali. 4 Scatter assegnano 8 giri gratuiti iniziali. Gli Sticky Wild moltiplicatori vengono assegnati in modo casuale sui rulli da 2 a 5. Durante il bonus, viene assegnato un giro gratuito aggiuntivo per ogni Scatter ottenuto.{/fill}"""
mgd.info-magic-devil-1,Impila Wilds e 3 o 4 SCATTERS per attivare GIRI GRATUITI
mgd.info-magic-devil-2,Giri gratuiti EXTRA sugli scatter
mgd.info-magic-devil-3,JOLLY MOLTIPLICATORE ADESIVI PER GRANDI VINCITE FINO A
mgd.info-magic-devil-4,30.000x
mgd.info-paytable,Tutte le vincite pagano da sinistra a destra purché appaiano su rulli adiacenti. Tutte le vincite derivanti dalle modalità vincenti vengono sommate. Viene pagata solo la vincita più alta per modalità di vincita.
mgd.info-wild-respin-1,I WILD IMPILATI sui rulli 1 e 6 attivano il RESPIN GRATUITO
mgd.info-wild-respin-2,Vinci alla GRANDE con i WILD MOLTIPLICATORI
"mgd.mgd92-sim,""91,79%"""
"mgd.mgd94-sim,""93,78%"""
"mgd.mgd96-sim,""96,15%"""
value.time-at,A
amount,importo
